# sheet-19 measured controls: the 45 feature-led v2 controls plus 15 placed by hand 2026-07-30.
# GENERATED - do not hand-edit.
# The 8 rows marked `check` are held out: never fitted, only scored against.
pixel_x,pixel_y,lon,lat,role,label
3917.0,1670.0,-61.48652584,45.90581083,control,c23
4216.0,1255.0,-61.46932554,45.91833280,control,c02
4980.0,1400.0,-61.43582600,45.91325368,control,c03
4354.0,1937.0,-61.46257136,45.89786118,control,c04
7640.0,2872.0,-61.31612466,45.86601069,control,c05
9146.0,3141.0,-61.24532862,45.85939718,control,c07
4097.0,3741.0,-61.47294811,45.83832426,control,c08
6917.0,4303.0,-61.34596524,45.82444849,control,c10
4399.0,4405.0,-61.46397547,45.81885065,control,c12
7510.0,5606.0,-61.31838118,45.78220662,control,c18
9678.0,5549.0,-61.22063077,45.78192012,control,c20
9173.0,6135.0,-61.24199747,45.76393792,control,c21
3970.0,5193.0,-61.48587482,45.79195034,control,n02
3762.0,4849.0,-61.49245916,45.80003999,control,n03
4177.0,5698.0,-61.47860961,45.78356321,control,n04
3832.0,1727.0,-61.48408133,45.90412931,control,n05
9351.0,2220.0,-61.23374522,45.88813635,control,g01
8319.0,4908.0,-61.27526148,45.80179960,control,g04
3690.6,2555.6,-61.49198190,45.87715300,control,cand-0001
5122.7,5423.6,-61.42779090,45.78722300,control,cand-0004
9419.8,5266.5,-61.23146570,45.79137630,control,cand-0005
7455.7,1515.5,-61.32292720,45.90994030,control,cand-0010
4810.2,5641.3,-61.44173960,45.77974460,control,cand-0011
7708.0,4534.5,-61.30952480,45.81485580,control,cand-0017
6723.9,3003.5,-61.35560710,45.86332310,control,cand-0030
3417.2,1515.1,-61.50557670,45.91006780,control,cand-0033
3478.0,3198.7,-61.50217220,45.85768190,control,cand-0054
7341.3,2808.1,-61.32770630,45.86916900,control,cand-0059
7393.9,4355.7,-61.32435730,45.82025160,control,cand-0063
6136.2,6233.5,-61.38429260,45.76225360,control,cand-0106
4913.5,2729.2,-61.43812780,45.87182830,control,cand-0141
8267.8,2189.6,-61.28596280,45.88867850,control,cand-0169
5477.7,5495.2,-61.41185940,45.78442300,control,cand-0173
8136.0,2795.8,-61.29197320,45.86942860,control,cand-0179
5947.0,2503.0,-61.38563710,45.87801470,control,cand-0303
5877.1,4365.9,-61.39440550,45.82120030,control,cand-1041
6393.3,4048.4,-61.36974020,45.82980400,control,cand-1179
7463.7,4597.8,-61.32073450,45.81130960,control,cand-1214
6809.3,1983.1,-61.34747260,45.89535370,control,cand-1643
8622.8,2236.7,-61.26983650,45.88816930,control,cand-1872
6370.4,3695.2,-61.37232460,45.84237710,control,cand-2018
9145.4,3146.1,-61.24535560,45.85923560,control,cand-0413
4512.8,4503.9,-61.45867840,45.81567170,control,cand-1344
8885.4,3155.8,-61.25734900,45.85893710,control,cand-1394
4635.5,4561.7,-61.45332160,45.81450900,control,cand-0286
6883.6,5246.3,-61.34718418,45.79212535,control,gcp-2
6367.3,4070.7,-61.36971474,45.82975616,control,gcp-3
7426.8,4815.4,-61.32293701,45.80523022,control,gcp-4
6785.6,2053.4,-61.35211945,45.89526516,control,gcp-5
6740.2,1858.7,-61.35512352,45.90090990,control,gcp-6
4130.2,4494.9,-61.47449791,45.81131037,control,gcp-7
4375.5,4264.4,-61.46389246,45.81913955,control,gcp-9
4885.0,4716.9,-61.44018173,45.80475156,control,gcp-11
4589.5,4421.9,-61.45322800,45.81441376,control,gcp-12
6969.0,3823.9,-61.34572506,45.83811345,control,gcp-13
6947.0,3896.4,-61.34598255,45.83518331,control,gcp-14
6934.0,4097.4,-61.34613276,45.82788718,control,gcp-15
6039.5,5456.0,-61.38683796,45.78365641,control,gcp-17
5571.0,5405.9,-61.40902519,45.78437467,control,gcp-18
5775.5,5739.9,-61.39906883,45.77234253,control,gcp-19
4020.0,5158.0,-61.48304160,45.79304830,check,cand-0497
4048.0,5389.0,-61.48308360,45.78879180,check,cand-0691
4097.0,1653.5,-61.48053570,45.90637700,check,cand-0899
8072.0,4848.0,-61.28799760,45.80437150,check,cand-0016
7589.0,4522.0,-61.31545680,45.81474810,check,cand-0315
7942.0,4795.0,-61.29621500,45.80621210,check,cand-1554
4240.0,1992.0,-61.46757210,45.89592750,check,cand-0026
9257.0,2080.0,-61.23858240,45.89261960,check,cand-2020
